1,2,3
4,5,2
1,4,2
3,6,7
1,3,7
8,6,9
8,7,6
10,5,11
4,11,5
12,13,10
11,12,10
1,14,4
1,7,14
15,11,4
15,4,14
16,17,9
8,9,17
8,18,7
8,17,18
14,7,18
19,17,16
19,16,20
21,22,13
13,12,21
23,22,24
22,21,24
25,23,24
25,26,23
11,27,12
15,27,11
28,21,12
12,27,28
15,29,27
15,14,29
14,18,29
19,30,17
17,30,18
31,18,30
31,29,18
19,20,32
19,32,30
32,20,33
34,24,21
21,28,34
35,24,34
25,24,36
36,24,35
25,37,26
36,37,25
37,38,26
27,39,28
27,29,39
34,28,40
28,39,40
41,29,31
42,39,29
41,42,29
30,32,43
31,30,43
31,43,41
32,33,44
32,44,43
44,33,45
35,34,46
46,34,40
47,35,46
36,48,37
47,48,35
36,35,48
49,38,37
49,37,48
49,50,38
39,51,40
42,51,39
46,40,52
40,51,52
41,43,53
42,41,53
42,53,51
54,51,53
43,44,55
55,53,43
45,56,44
56,55,44
56,45,57
47,46,58
58,46,52
47,59,48
47,58,59
49,60,50
49,48,60
48,59,60
61,58,52
50,60,62
63,52,51
54,63,51
61,52,64
64,52,63
54,65,63
55,66,53
54,53,66
54,66,65
56,67,55
66,55,67
68,57,69
57,68,56
67,56,68
59,58,70
61,70,58
60,71,62
60,59,71
59,70,71
61,72,70
61,64,72
62,71,73
64,63,74
74,63,65
64,75,72
64,74,75
76,74,65
76,65,77
78,79,80
66,67,81
65,66,81
77,65,81
82,69,83
69,82,68
68,82,84
68,84,67
84,81,67
85,82,83
85,83,86
87,85,86
71,88,73
70,88,71
70,72,88
89,88,72
72,75,89
73,88,90
75,91,89
92,89,91
77,81,93
74,94,75
75,94,91
76,94,74
77,95,76
77,93,95
76,95,94
96,97,79
78,96,79
98,97,96
98,99,97
80,100,101
78,80,101
78,102,96
78,101,102
84,103,81
93,81,103
104,93,103
85,105,82
82,105,84
105,103,84
87,106,85
106,105,85
107,106,87
107,87,108
86,109,87
108,87,109
90,88,110
89,110,88
92,110,89
90,110,111
112,110,92
92,113,112
92,91,113
91,114,113
114,91,94
104,115,93
115,95,93
94,116,114
116,94,95
95,115,116
98,96,117
102,117,96
99,118,119
98,118,99
98,117,118
120,119,118
120,121,119
122,123,100
101,100,123
123,124,101
102,101,124
102,125,117
124,125,102
104,126,115
104,103,127
104,127,126
106,128,105
105,128,103
127,103,128
107,129,106
129,128,106
130,107,108
107,130,129
131,129,130
132,130,108
108,109,133
132,108,133
111,134,135
134,111,110
112,134,110
112,136,134
112,113,136
137,136,113
138,113,114
137,113,138
138,114,139
139,114,116
115,126,140
116,140,139
115,140,116
135,141,142
141,135,134
142,143,144
143,142,141
144,145,146
145,144,143
147,148,122
123,122,148
149,150,146
146,145,149
151,152,150
150,149,151
153,154,147
148,147,154
152,155,153
154,153,155
155,152,151
120,118,156
117,156,118
117,125,156
120,157,121
120,156,157
157,158,121
159,123,148
124,123,159
160,124,159
124,160,125
125,161,156
160,161,125
162,140,126
126,127,163
162,126,163
127,128,164
164,163,127
131,165,129
129,165,128
165,164,128
131,166,165
132,167,130
131,167,166
130,167,131
132,133,168
132,168,167
169,141,134
136,169,134
136,170,169
137,170,136
137,171,170
137,138,171
172,171,138
172,138,139
172,139,173
173,139,140
174,173,140
174,140,162
175,141,169
176,143,141
175,176,141
143,177,145
176,177,143
178,149,145
178,145,177
159,148,179
180,148,154
179,148,180
149,181,151
149,178,181
182,180,154
183,155,151
183,151,181
184,154,155
182,154,184
184,155,183
156,185,157
185,156,161
186,187,158
157,186,158
186,157,185
179,188,159
160,159,188
160,188,161
161,189,185
161,188,189
190,191,187
187,186,190
191,192,193
192,191,190
194,193,192
193,194,195
162,163,196
162,196,174
163,164,197
163,197,196
198,164,165
198,197,164
199,165,166
199,198,165
200,199,166
201,166,167
202,166,201
200,166,202
168,203,167
201,167,203
175,169,204
170,204,169
171,205,170
170,205,204
171,206,205
172,206,171
172,173,206
174,196,207
173,207,206
174,207,173
175,208,176
175,204,208
209,177,176
209,176,208
210,177,209
211,178,177
210,211,177
178,212,181
211,212,178
179,213,188
179,180,213
182,214,180
214,213,180
181,215,183
181,212,215
182,216,214
182,184,216
184,183,217
216,184,217
217,183,215
186,218,190
185,218,186
185,189,218
213,219,188
189,188,219
220,218,189
220,189,219
192,190,221
190,218,221
222,194,192
222,192,221
223,195,194
224,223,194
224,194,222
225,195,223
226,225,223
227,207,196
228,196,197
227,196,228
229,197,198
197,229,228
200,230,199
198,230,229
199,230,198
202,231,200
200,231,230
201,203,232
201,232,202
202,232,231
204,233,208
233,204,205
205,234,233
234,205,206
234,206,235
235,206,207
236,207,227
236,235,207
208,237,209
237,208,233
210,209,238
238,209,237
210,239,211
210,238,239
240,212,211
240,211,239
241,212,240
242,215,212
241,242,212
243,215,242
213,244,219
214,244,213
245,214,216
245,244,214
246,217,215
243,246,215
246,247,217
245,216,247
216,217,247
248,219,244
249,221,218
220,249,218
220,250,249
220,219,250
248,250,219
251,221,249
224,222,252
222,221,252
251,252,221
226,223,253
224,253,223
224,252,253
254,226,253
226,255,225
226,254,255
227,228,256
257,227,256
236,227,257
258,228,229
228,258,256
259,229,230
229,259,258
260,230,231
230,260,259
261,256,258
231,232,262
231,262,260
233,263,237
263,233,234
264,263,234
264,234,235
236,257,265
264,235,265
236,265,235
263,266,237
237,266,238
238,267,239
267,238,266
239,268,240
268,239,267
241,240,269
269,240,268
241,270,242
241,269,270
243,242,271
270,271,242
243,272,246
243,271,272
245,247,273
245,273,244
248,244,273
247,246,274
247,274,273
272,274,246
248,273,275
248,275,250
251,249,276
276,249,250
276,250,277
277,250,275
251,278,252
251,276,278
253,279,254
252,278,279
253,252,279
280,254,279
281,255,254
254,280,281
282,256,261
257,256,283
282,283,256
257,283,265
261,258,284
284,258,259
260,262,285
260,285,259
259,285,284
286,282,261
287,261,284
286,261,287
285,262,288
264,265,289
264,289,263
263,289,266
265,283,290
290,289,265
270,269,291
266,292,267
292,266,289
267,293,268
293,267,292
294,268,293
294,291,269
269,268,294
291,295,270
271,270,295
295,296,271
272,271,296
297,272,296
297,274,272
275,273,298
298,273,274
297,299,274
299,298,274
300,275,298
277,275,300
301,278,276
301,276,277
302,277,300
302,301,277
303,279,278
278,301,303
280,279,304
304,279,303
305,281,280
280,304,305
306,283,282
286,307,282
