1,2,3,4
1,2,5,3
4,6,2,3
7,3,2,6
3,7,2,5
8,5,2,7
7,3,6,9
4,6,3,9
4,6,9,10
3,7,11,9
5,8,12,11
8,5,7,11
3,7,5,11
13,9,7,6
14,10,13,6
13,9,6,10
13,9,15,7
11,15,9,7
11,15,8,12
15,11,8,7
16,12,8,15
14,10,17,13
14,10,18,17
19,18,17,14
17,20,13,10
9,13,20,10
20,17,18,10
18,19,21,22
19,18,21,17
23,22,21,19
20,17,21,18
24,21,19,23
24,21,17,19
22,23,21,25
22,23,25,26
27,26,25,23
21,24,25,23
28,25,23,27
28,25,24,23
26,27,25,29
26,27,29,30
28,25,27,29
31,30,29,27
32,29,28,27
32,29,27,31
33,34,35,12
16,12,35,34
16,12,15,35
11,15,12,35
9,13,36,20
11,15,36,9
13,9,36,15
11,15,35,36
17,20,37,13
36,37,15,35
37,36,15,13
36,37,20,13
38,35,16,15
38,35,34,16
38,35,15,37
36,37,39,20
24,21,40,17
17,20,40,37
39,40,20,37
39,40,21,20
20,17,40,21
21,24,41,25
25,28,24,41
39,40,41,21
24,21,41,40
42,41,24,28
42,41,40,24
43,44,45,31
30,31,45,44
29,32,45,31
30,31,29,45
46,45,32,31
46,45,31,43
44,43,47,48
44,43,45,47
49,48,47,43
45,46,47,43
50,47,46,43
50,47,43,49
48,49,51,52
53,52,51,49
48,49,47,51
47,50,51,49
54,51,49,53
54,51,50,49
55,56,57,53
52,53,57,56
52,53,51,57
54,51,53,57
58,57,54,53
58,57,53,55
56,55,59,60
61,60,59,55
56,55,57,59
57,58,59,55
62,59,55,61
62,59,58,55
60,61,63,64
65,64,63,61
60,61,59,63
66,63,61,65
59,62,63,61
66,63,62,61
25,28,41,67
25,28,67,29
41,42,67,28
32,29,68,28
68,67,28,29
68,67,42,28
29,32,69,45
46,45,69,32
67,68,69,29
32,29,69,68
70,69,68,32
70,69,32,46
38,35,71,34
72,73,74,33
34,33,74,73
33,34,74,35
74,71,35,34
71,74,73,34
64,65,75,76
77,76,75,65
64,65,63,75
78,75,65,77
63,66,75,65
78,75,66,65
78,75,77,79
76,77,75,79
76,77,79,80
81,80,79,77
82,79,77,81
82,79,78,77
80,81,79,83
80,81,83,84
79,82,83,81
85,84,86,81
86,83,81,84
83,86,81,82
85,84,87,86
88,89,87,85
85,84,89,87
90,87,89,84
90,87,84,86
86,83,84,90
88,89,91,87
89,88,91,92
93,92,91,88
94,91,88,93
94,91,87,88
90,87,91,89
91,94,95,93
92,93,91,95
92,93,95,96
97,95,94,93
97,95,93,96
98,96,97,93
97,95,96,99
98,96,100,97
101,102,100,98
99,100,96,97
99,100,102,96
98,96,102,100
102,101,103,104
105,104,103,101
101,102,103,100
99,100,103,102
106,103,100,101
106,103,101,105
74,71,107,35
35,38,71,107
36,37,35,108
38,35,37,108
36,37,108,39
35,38,107,108
40,39,109,37
109,108,38,37
108,109,39,37
108,109,38,107
110,107,71,38
110,107,38,109
39,40,111,41
42,41,111,40
108,109,111,39
39,40,109,111
112,111,40,42
112,111,109,40
41,42,111,113
41,42,113,67
114,113,42,67
68,67,114,42
114,113,111,42
112,111,42,114
45,46,69,115
45,46,115,47
50,47,115,46
69,70,115,46
116,115,46,50
116,115,70,46
47,50,117,51
47,50,115,117
54,51,117,50
115,116,117,50
118,117,50,54
118,117,116,50
51,54,119,57
51,54,117,119
58,57,119,54
118,117,54,119
120,119,54,58
120,119,118,54
57,58,119,121
57,58,121,59
62,59,121,58
119,120,121,58
122,121,58,62
122,121,120,58
59,62,121,123
59,62,123,63
121,122,123,62
66,63,124,62
124,123,62,63
123,124,62,122
66,63,125,124
78,75,125,66
66,63,75,125
124,123,63,126
125,126,63,75
126,125,63,124
70,69,127,68
113,114,127,67
67,68,127,69
68,67,127,114
127,128,68,114
128,127,68,70
116,115,129,70
69,70,127,129
69,70,129,115
128,127,70,129
130,129,70,116
130,129,128,70
71,74,131,73
73,72,74,131
73,72,131,132
133,132,73,131
134,135,71,110
74,71,135,107
110,107,135,71
134,135,131,71
71,74,135,131
136,131,74,72
136,131,135,74
136,131,72,132
137,135,74,136
137,135,107,74
82,79,138,78
78,75,138,125
78,75,79,138
125,126,75,139
139,138,79,75
139,138,75,125
83,86,82,140
82,79,140,138
82,79,83,140
140,141,79,83
138,139,79,141
140,141,138,79
140,141,83,142
86,83,90,142
83,86,140,142
142,143,86,140
142,143,90,86
87,90,143,86
90,87,143,144
90,87,144,91
145,144,87,94
94,91,144,87
145,144,143,87
143,142,90,144
145,144,94,146
91,94,144,147
91,94,147,95
95,97,94,147
146,147,144,94
147,146,97,94
95,97,148,99
95,97,147,148
100,99,149,97
148,149,97,147
148,149,99,97
147,146,149,97
99,100,150,103
106,103,150,100
148,149,150,99
99,100,149,150
150,151,106,100
150,151,100,149
104,105,152,153
104,105,103,152
154,153,152,105
106,103,105,152
155,152,105,154
155,152,106,105
155,152,156,106
103,106,150,157
103,106,157,152
157,156,152,106
150,151,157,106
156,157,151,106
158,159,160,161
162,161,160,159
153,154,163,158
159,158,163,154
153,154,152,163
158,159,163,160
152,155,163,154
164,160,159,162
165,163,154,159
164,160,165,159
165,163,159,160
163,165,154,155
166,167,168,169
169,170,167,168
171,168,167,170
164,160,162,172
161,162,172,173
161,162,160,172
174,173,172,162
175,172,162,174
175,172,164,162
169,170,168,176
173,174,176,170
170,169,174,176
171,168,170,176
173,174,172,176
172,175,177,174
177,176,172,174
177,176,174,169
176,177,168,169
178,172,176,173
178,172,173,161
178,172,161,160
107,110,135,179
108,109,179,111
108,109,107,179
112,111,179,109
110,107,109,179
137,135,179,107
180,179,135,110
180,179,110,109
180,179,109,112
134,135,110,180
111,112,179,181
113,114,111,181
179,180,181,112
112,111,114,181
182,181,180,112
182,181,112,114
113,114,183,127
181,182,183,114
113,114,181,183
184,183,182,114
183,184,127,114
128,127,184,114
115,116,129,185
115,116,185,117
118,117,185,116
129,130,185,116
186,185,116,118
186,185,130,116
117,118,185,187
117,118,187,119
120,119,187,118
186,185,118,188
187,188,120,118
187,188,118,185
187,189,117,119
187,189,185,117
119,120,190,121
122,121,190,120
187,189,119,190
119,120,187,190
187,188,191,120
191,190,120,122
190,191,120,187
121,122,190,192
121,122,192,123
191,190,122,192
123,124,122,193
192,193,123,122
192,193,122,191
123,124,193,194
193,192,123,194
124,123,126,194
195,194,124,126
126,125,124,195
194,195,124,193
125,126,139,196
139,138,125,196
126,125,195,196
195,194,126,197
196,197,195,126
196,197,126,139
196,197,139,198
183,184,199,127
128,127,129,199
128,127,199,184
200,199,184,128
130,129,200,128
200,199,128,129
186,185,201,130
201,202,200,130
129,130,202,185
201,202,130,185
199,200,202,129
130,129,202,200
136,131,132,203
203,204,132,205
204,203,132,131
133,132,204,205
133,132,131,204
206,205,133,204
206,205,204,207
206,205,207,208
209,207,204,205
203,204,205,209
208,210,205,207
209,207,205,210
179,180,135,211
137,135,211,179
212,211,135,180
134,135,180,212
136,131,203,213
204,203,131,213
134,135,212,213
131,136,135,213
212,211,213,135
135,134,131,213
214,213,135,136
214,213,136,203
137,135,214,211
214,213,211,135
137,135,136,214
138,139,215,196
141,140,138,215
198,215,139,196
215,198,139,141
138,139,141,215
141,140,216,142
142,143,140,216
141,140,215,216
216,217,141,142
216,217,215,141
215,198,141,217
143,142,218,216
143,142,144,218
145,144,218,143
216,217,142,218
219,218,216,143
219,218,143,145
219,218,145,220
145,144,220,218
145,144,146,220
146,147,221,144
220,221,218,144
221,220,146,144
221,220,222,146
149,148,150,223
151,150,223,149
148,149,147,224
146,147,224,221
222,224,146,149
149,148,223,224
147,146,224,149
222,224,221,146
223,225,151,149
223,225,149,224
224,222,225,149
151,150,226,223
151,150,157,226
157,156,151,226
226,227,151,225
223,225,226,151
226,227,156,151
225,223,226,228
226,227,225,228
166,167,229,168
175,172,230,164
165,163,231,155
231,232,233,156
155,152,232,156
157,156,232,152
152,155,232,163
231,232,156,155
232,231,163,155
157,156,234,232
157,156,226,234
234,233,232,156
226,227,234,156
233,234,227,156
230,235,164,172
160,164,235,172
178,172,160,235
160,164,236,235
165,163,160,236
164,160,236,165
232,231,236,163
165,163,236,231
236,237,235,164
237,236,231,165
236,237,164,165
230,235,237,164
171,168,176,238
176,177,238,168
172,175,239,177
175,172,239,230
229,240,168,167
171,168,240,167
168,171,240,238
229,240,238,168
241,238,171,176
238,241,239,177
241,238,240,171
176,241,238,177
239,242,172,177
230,235,172,242
178,172,242,176
178,172,235,242
176,177,242,241
239,242,177,241
177,176,242,172
239,242,230,172
239,242,243,230
230,235,242,243
244,243,242,235
182,181,245,180
179,180,211,245
212,211,180,245
179,180,245,181
246,245,212,180
246,245,180,182
181,182,247,183
181,182,245,247
246,245,182,247
247,248,182,246
247,248,183,182
184,183,248,182
184,183,249,248
247,248,249,183
183,184,249,199
250,249,248,184
200,199,250,184
249,250,199,184
202,201,251,185
186,185,251,201
189,187,185,251
252,251,201,186
186,185,188,251
252,251,186,188
187,188,185,251
188,187,191,253
189,187,253,190
191,190,253,187
189,187,251,253
252,251,188,253
188,187,253,251
254,253,189,251
253,254,189,190
192,193,191,255
190,191,256,192
253,254,190,256
255,256,191,192
255,256,253,191
191,190,256,253
193,192,257,255
193,192,194,257
255,256,192,257
195,194,197,258
257,259,193,255
257,259,194,193
194,195,193,259
259,257,194,258
195,194,258,259
258,260,195,259
258,260,197,195
197,196,195,260
198,215,196,261
197,196,261,198
197,196,260,261
260,258,197,262
262,260,261,197
263,261,197,262
263,261,198,197
215,198,217,264
198,215,265,264
266,265,264,198
198,215,261,265
266,265,198,263
263,261,265,198
249,250,267,199
268,267,200,201
199,200,267,202
200,199,267,250
268,267,250,200
201,202,267,200
202,201,269,251
252,251,269,201
202,201,267,269
268,267,201,269
270,269,251,202
270,269,202,267
208,210,271,272
272,273,210,271
203,204,209,274
214,213,203,274
203,204,274,213
275,274,204,213
207,209,204,275
275,274,209,204
276,277,271,208
208,210,277,271
208,210,207,277
276,277,208,207
209,207,210,277
209,207,277,275
276,277,207,275
274,275,209,277
278,271,210,273
278,271,277,210
279,280,245,211
279,280,211,214
214,213,280,211
212,211,280,213
212,211,245,280
246,245,280,212
274,275,281,213
213,214,281,274
213,214,280,281
282,281,214,274
279,280,214,282
281,282,214,280
264,283,215,265
264,283,217,215
217,216,215,283
217,216,283,284
219,218,284,216
217,216,284,218
285,283,284,217
283,264,217,285
284,286,285,217
284,286,217,218
220,221,287,218
288,287,286,218
219,218,220,288
219,218,288,284
286,284,288,218
287,288,220,218
221,220,287,289
222,224,290,221
289,291,220,287
287,288,291,220
221,220,292,222
290,292,221,289
221,220,289,292
290,292,222,221
289,291,292,220
222,224,293,290
292,290,222,293
222,224,225,294
222,224,294,293
295,294,225,224
225,223,228,295
225,223,295,224
294,295,296,224
296,293,224,290
296,293,294,224
295,297,228,225
295,294,297,225
228,298,227,225
228,298,225,297
298,297,228,299
297,299,295,228
227,226,234,300
234,233,227,300
301,300,227,233
301,300,302,227
227,226,303,228
227,226,300,303
298,228,227,303
302,303,227,300
298,228,303,299
303,302,227,298
229,240,304,238
238,241,240,304
244,243,235,305
230,235,305,237
230,235,243,305
234,233,300,306
301,300,233,306
307,306,301,233
308,309,307,233
308,309,233,231
231,232,309,233
307,306,233,309
234,233,309,232
237,236,309,231
308,309,231,237
234,233,306,309
232,231,309,236
237,236,310,309
236,237,310,235
309,308,310,237
305,310,308,237
310,305,244,235
305,310,237,235
238,241,311,239
239,242,241,311
238,241,304,311
239,242,311,312
239,242,312,243
313,304,240,241
313,304,241,314
311,314,312,242
314,311,304,241
314,311,241,242
315,312,314,242
244,243,315,242
312,315,243,242
244,243,316,315
312,315,316,243
243,244,316,305
310,305,317,244
316,317,305,244
317,316,315,244
245,246,318,247
279,280,318,245
247,248,246,318
246,245,318,280
319,318,246,248
319,318,280,246
249,250,248,320
248,247,249,320
318,319,320,248
247,248,318,320
321,320,248,250
321,320,319,248
268,267,322,250
249,250,322,267
249,250,320,322
323,322,250,268
321,320,250,323
323,322,320,250
252,251,324,269
252,251,253,324
254,253,251,324
324,325,269,251
270,269,325,251
325,324,254,251
325,324,326,254
327,326,324,254
326,327,256,254
254,253,327,256
254,253,324,327
256,255,253,327
327,326,256,328
255,256,328,327
257,259,255,328
255,256,257,328
329,328,256,326
329,257,328,259
329,328,257,256
259,257,330,329
259,257,258,330
258,260,259,330
260,262,330,258
331,330,329,259
330,331,260,259
328,329,259,331
263,261,332,265
262,260,332,261
263,261,262,332
262,260,330,332
